"$5 Cover" 	35.1490215 -90.0516285
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.093214 -118.3196124
"Actors Entertainment" 	34.093214 -118.3196124
"Actors Entertainment" 	34.093214 -118.3196124
"Actors Entertainment" 	34.093214 -118.3196124
"Actors Entertainment" 	34.093214 -118.3196124
"Actors Entertainment" 	34.093214 -118.3196124
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	34.2010776 -118.5978259
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.1816482 -118.3258554
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.4987133 -118.5843067
"Actors Entertainment" 	34.1816482 -118.3258554
"Actors Entertainment" 	39.7837304 -100.4458825
"Actors Entertainment" 	36.1672559 -115.1485163
"Actors Entertainment" 	34.1816482 -118.3258554
"Actors Entertainment" 	34.1816482 -118.3258554
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	36.2083012 -115.9839128
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Entertainment" 	34.1469416 -118.2478471
"Actors Entertainment" 	34.0536909 -118.2427666
"Actors Reporter Interviews" 	34.0536909 -118.2427666
"Actors Reporter Interviews" 	34.0536909 -118.2427666
"Actors Reporter Interviews" 	34.0536909 -118.2427666
"Actors Reporter Interviews" 	34.0536909 -118.2427666
"Actors Reporter Interviews" 	34.0536909 -118.2427666
"Actors Reporter Interviews" 	34.0536909 -118.2427666
"Actors Reporter Interviews" 	34.0536909 -118.2427666
"Actors Reporter Interviews" 	34.0536909 -118.2427666
"Actors Reporter Interviews" 	34.0536909 -118.2427666
"Actors Reporter Interviews" 	34.0536909 -118.2427666
"Actors Reporter Interviews" 	34.0536909 -118.2427666
"Actors" 	42.3602534 -71.0582912
"Act�vate con las Evelyns" 	19.4326296 -99.1331785
"Acusados" 	40.4167047 -3.7035825
"Adictos" 	19.4326296 -99.1331785
"Adult Learners" 	-33.8536692 151.2133527
"Adventure Chefs" 	27.7567667 -81.4639835
"Adventure Chefs" 	35.6729639 -79.0392919
"Agrotis monos psahnei..." 	38.9953683 21.9877132
"A	41.3828939 2.1774322
"A	48.8566969 2.3514616
"AhornTV" 	61.0666922 -107.9917071
"Ai qing gong yu" 	35.000074 104.999927
"Aidan 5" 	39.9622601 -83.0007065
"Aile Reisi" 	41.0766019 29.052495
"Ailiseu" 	36.5581914 127.9408564
"Ailiseu" 	47.48138955 19.14607278448202
"Ailiseu" 	46.8836527 17.846663499449168
"Ailiseu" 	36.5581914 127.9408564
"Ailiseu" 	36.5581914 127.9408564
"Ailiseu" 	39.6898802 140.342608
"Ailiseu" 	47.48138955 19.14607278448202
"Ailiseu" 	46.8836527 17.846663499449168
"Ailiseu" 	47.1817585 19.5060937
"Ailiseu" 	39.6898802 140.342608
"Ailiseu" 	39.6898802 140.342608
"Ailiseu" 	31.2322758 121.4692071
"Ailiseu" 	39.6898802 140.342608
"Ailiseu" 	35.000074 104.999927
"Ailiseu" 	13.41249965 103.86656937305514
"Ailiseu" 	39.6898802 140.342608
"Ailiseu" 	39.6898802 140.342608
"Ailiseu" 	13.41249965 103.86656937305514
"Ailiseu" 	47.48138955 19.14607278448202
"Ailiseu" 	47.48138955 19.14607278448202
"Ailiseu" 	13.41249965 103.86656937305514
"Ailiseu" 	47.48138955 19.14607278448202
"Ailiseu" 	36.5748441 139.2394179
"Ailiseu" 	36.5748441 139.2394179
"Ailiseu" 	36.5748441 139.2394179
"Ailiseu" 	36.5748441 139.2394179
"Air Mata Cinta" 	-6.1753942 106.827183
"Al di l� del lago" 	42.2066189 12.968786423621276
"Al di l� del lago" 	41.8933203 12.4829321
"Al di l� del lago" 	42.6384261 12.674297
"Alan Carr: Chatty Man" 	51.5073219 -0.1276474
"Alan Carr: Chatty Man" 	51.5073219 -0.1276474
"Alaska State Troopers" 	64.837845 -147.716675
"Alfredo Tomato" 	43.653963 -79.387207
"Alguien a qui�n querer" 	-34.9964963 -64.9672817
"Ali Reza and the Rezas" 	59.9133301 10.7389701
"Alice" 	49.0596635 -122.4922381
"Alice" 	50.6758269 -120.3394159
"Alice" 	49.2608724 -123.1139529
"Alisa - Folge deinem Herzen" 	51.0834196 10.4234469
"Alisa - Folge deinem Herzen" 	52.5334548 12.7177745
"All 4 Adventure" 	-15.72083 135.64056
"All 4 Adventure" 	-30.1592656 131.5787244
"All 4 Adventure" 	-20.3994137 115.57367311428573
"All 4 Adventure" 	-22.61481715 113.53760000925683
"All 4our One" 	42.3602534 -71.0582912
"All About Eve" 	14.5736108 121.0329706
"All About Eve" 	1.357107 103.8194992
"All About Jack" 	-37.5622632 143.8607215
"All Worked Up" 	40.7210578 -73.9565712
"All the Small Things" 	53.4825249 -2.2448237
"AllaKattan!" 	40.7127281 -74.0060152
"Alma Indomable" 	25.7742658 -80.1936589
"Almohadazo" 	19.4326296 -99.1331785
"Aloha!" 	55.6765464 12.5610248
"Alone in the Wild" 	63.000147 -136.002502
"Alta Defini��o" 	38.7077507 -9.1365919
"Always Good News" 	35.2270869 -80.8431268
"Amanpour." 	40.7896239 -73.9598939
"American Contestant with Bob Odenkirk" 	34.0536909 -118.2427666
"American Diner" 	40.4416941 -79.9900861
"American Loggers" 	45.709097 -68.8590201
"American Ninja Warrior" 	36.5748441 139.2394179
"Amigos del volante" 	-34.9964963 -64.9672817
"Amigos del volante" 	-34.9964963 -64.9672817
"Amigos del volante" 	-34.9964963 -64.9672817
"Amigos del volante" 	-34.9964963 -64.9672817
"Among the Apes" 	1.42965855 114.74059919809318
"Among the Apes" 	-6.5247123 35.7878438
"Among the Apes" 	1.5333554 32.2166578
"Amores de luna 2: Nuevos caminos" 	25.7742658 -80.1936589
"Anacostia" 	38.8147596 -77.09024765272724
"Anacostia" 	39.2156213 -76.8582049
"Anacostia" 	38.8035961 -76.9896573
"Anacostia" 	38.8165274 -76.7519753
"Anacostia" 	38.8948932 -77.0365529
"Anacostia" 	38.8948932 -77.0365529
"Anacostia" 	38.9429659 -76.731234
"Anacostia" 	39.1434406 -77.2013705
"Anacostia" 	41.3082138 -72.9250518
"Anatomy of a Takedown" 	38.8948932 -77.0365529
"Ancients Behaving Badly" 	42.6384261 12.674297
"Andrew Marr\'s The Making of Modern Britain" 	53.34174585 -6.309578660652412
"Angular: Una experiencia universitaria" 	20.6720375 -103.3383962
"Aniela" 	45.9852129 24.6859225
"Aniela" 	45.9852129 24.6859225
"Animal Planet\'s Most Outrageous" 	32.9594891 -117.2653146
"Animal Planet\'s Most Outrageous" 	32.9594891 -117.2653146
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animales sueltos" 	-34.9964963 -64.9672817
"Animation Lookback" 	28.38034955 -81.5297578369267
"Animation Lookback" 	28.38034955 -81.5297578369267
"Animation Lookback" 	28.38034955 -81.5297578369267
"Anime towazu katari" 	36.5748441 139.2394179
"AnimeCons TV" 	38.270022 -122.60612241304348
"AnimeCons TV" 	39.7837304 -100.4458825
"AnimeCons TV" 	37.5841026 -122.3660825
"AnimeCons TV" 	34.0536909 -118.2427666
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	37.3361905 -121.8905833
"AnimeCons TV" 	39.7837304 -100.4458825
"AnimeCons TV" 	42.7653662 -71.467566
"AnimeCons TV" 	44.5360015 -73.2058402
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	37.8044557 -122.2713563
"AnimeCons TV" 	39.7837304 -100.4458825
"AnimeCons TV" 	39.7837304 -100.4458825
"AnimeCons TV" 	39.7837304 -100.4458825
"AnimeCons TV" 	39.7837304 -100.4458825
"AnimeCons TV" 	39.7837304 -100.4458825
"AnimeCons TV" 	38.270022 -122.60612241304348
"AnimeCons TV" 	38.270022 -122.60612241304348
"AnimeCons TV" 	39.284749399999995 -76.62047463969989
"AnimeCons TV" 	39.7837304 -100.4458825
"AnimeCons TV" 	39.7837304 -100.4458825
"AnimeCons TV" 	34.0536909 -118.2427666
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	43.6414716 -70.2408811
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	40.5810571 -111.6567989
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	39.7837304 -100.4458825
"AnimeCons TV" 	36.1672559 -115.1485163
"AnimeCons TV" 	43.6414716 -70.2408811
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	39.523489850000004 -119.77890752989296
"AnimeCons TV" 	38.270022 -122.60612241304348
"AnimeCons TV" 	38.5815719 -121.4943996
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	37.8044557 -122.2713563
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	42.3370414 -71.2092214
"AnimeCons TV" 	39.284749399999995 -76.62047463969989
"AnimeCons TV" 	42.3370414 -71.2092214
"Anna & Kristina\'s Beauty Call" 	49.2608724 -123.1139529
