"1966 World Series" 	39.7837304 -100.4458825
"1966 World Series" 	39.284749399999995 -76.62047463969989
"A Tale of Two Rivers" 	51.5601534 -0.7793712
"A Tale of Two Rivers" 	48.8558787 2.5319597
"A Tale of Two Rivers" 	48.8566969 2.3514616
"ABC Stage 67" 	51.5073219 -0.1276474
"ABC Stage 67" 	51.2474823 0.7105077
"ABC Stage 67" 	51.5073219 -0.1276474
"ABC Stage 67" 	34.0561207 -118.4306347
"ABC Stage 67" 	40.7127281 -74.0060152
"ABC Stage 67" 	30.8703881 -92.007126
"ABC Stage 67" 	40.7127281 -74.0060152
"ABC Stage 67" 	34.0218833 -118.28586726915088
"Adam Adamant Lives!" 	53.77493495 -3.047551917868039
"Adria	51.0834196 10.4234469
"Adria	48.1371079 11.5753822
"Adria	52.5001698 5.7480821
"Algo caliente bajo la piel" 	-34.9964963 -64.9672817
"Alias Buen Mozo" 	-34.9964963 -64.9672817
"Angustia que trajo el amor" 	-34.9964963 -64.9672817
