"1996 Presidential Debates" 	41.762755 -72.6806416
"1996 Presidential Debates" 	39.7837304 -100.4458825
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
"3rd Rock from the Sun" 	34.0536909 -118.2427666
