"1957 World Series" 	43.0349931 -87.922497
"1957 World Series" 	40.7127281 -74.0060152
"26 Men" 	32.2228765 -110.9748477
"26 Men" 	34.3811579 -118.414428
"26 Men" 	33.4484367 -112.0741417
"26 Men" 	33.4150484 -111.5495439
"26 Men" 	33.4286606 -111.4181856
"26 Men" 	33.4484367 -112.0741417
"26 Men" 	33.8155875 -111.30698734232479
"26 Men" 	33.293945 -111.0962305
"26 Men" 	33.293945 -111.0962305
"26 Men" 	31.9736921 -111.0950951
"26 Men" 	39.7837304 -100.4458825
"26 Men" 	39.7837304 -100.4458825
"26 Men" 	32.2598642 -112.9262583
"26 Men" 	33.491928 -111.25590529904564
"26 Men" 	33.4484367 -112.0741417
"26 Men" 	33.5144398 -111.9618347
"26 Men" 	33.70277085 -112.02708568751879
"26 Men" 	32.4449519 -111.65212774769238
"26 Men" 	33.1070069 -110.9631677
"26 Men" 	33.109506 -111.1498394
"26 Men" 	33.2297793 -111.2092899
"26 Men" 	33.3320006 -110.9434472
"26 Men" 	33.293945 -111.0962305
"26 Men" 	39.7837304 -100.4458825
"26 Men" 	33.4178539 -110.8268594
"26 Men" 	34.8699317 -111.7609226
"26 Men" 	33.5206251 -111.9875196
"26 Men" 	34.1566737 -116.4961263
"26 Men" 	39.7837304 -100.4458825
"26 Men" 	32.2228765 -110.9748477
"26 Men" 	32.2598642 -112.9262583
"26 Men" 	39.7837304 -100.4458825
"26 Men" 	32.2228765 -110.9748477
"26 Men" 	39.7837304 -100.4458825
"26 Men" 	34.395342 -111.7632755
"26 Men" 	34.395342 -111.7632755
"26 Men" 	36.6042366 -118.06305838975558
"26 Men" 	34.395342 -111.7632755
"26 Men" 	34.395342 -111.7632755
"26 Men" 	34.395342 -111.7632755
"26 Men" 	34.395342 -111.7632755
"26 Men" 	32.2228765 -110.9748477
"26 Men" 	32.2598642 -112.9262583
"26 Men" 	33.70277085 -112.02708568751879
"26 Men" 	33.4484367 -112.0741417
"26 Men" 	33.4484367 -112.0741417
"26 Men" 	34.395342 -111.7632755
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"Adventures of a Jungle Boy" 	1.4419683 38.4313975
"African Patrol" 	1.4419683 38.4313975
"African Patrol" 	1.4419683 38.4313975
"Aktuelle Schaubude" 	51.0834196 10.4234469
"Alcoa Theatre" 	34.093214 -118.3196124
"Alcoa Theatre" 	34.093214 -118.3196124
"Alcoa Theatre" 	34.093214 -118.3196124
"Alcoa Theatre" 	34.093214 -118.3196124
"Alcoa Theatre" 	34.093214 -118.3196124
"Alcoa Theatre" 	34.093214 -118.3196124
