"1972 American League Championship Series" 	37.8044557 -122.2713563
"America" 	57.873742 -4.1333463
"America" 	38.8913369 -77.02597980275456
"America" 	38.5815719 -121.4943996
"America" 	38.2194983 -90.5956821
"America" 	39.7686055 -94.8466322
"America" 	39.7837304 -100.4458825
"America" 	40.7433066 -74.0323752
"America" 	39.7837304 -100.4458825
"America" 	37.1243164 -77.2258062
"America" 	29.957670999999998 -90.06381206073951
"America" 	51.5073219 -0.1276474
"America" 	32.381369 -106.4789925
"America" 	38.8964258 -77.04578430834991
"America" 	41.8755616 -87.6244212
"America" 	40.7127281 -74.0060152
"America" 	38.8948932 -77.0365529
"America" 	39.4225192 -111.7143584
"America" 	40.0970507 -75.4696358
"America" 	34.742593299999996 -120.51559863476373
"America" 	44.5990718 -72.5002608
"America" 	40.5885271 -83.1895249
"America" 	34.1460234 -118.8061794
"America" 	38.8976998 -77.03655348862276
"America" 	44.5263107 -109.0563923
"America" 	34.9248667 -81.0250784
"America" 	43.1700264 -107.5685348
"America" 	37.320774 -113.00484758652519
"American Lifestyle" 	30.7235263 -95.5507771
"Anna and the King" 	34.0536909 -118.2427666
"Anna and the King" 	34.0536909 -118.2427666
"Anna and the King" 	34.0536909 -118.2427666
"Anna and the King" 	34.0536909 -118.2427666
"Anna and the King" 	34.0536909 -118.2427666
"Anna and the King" 	34.0536909 -118.2427666
"Anna and the King" 	34.0536909 -118.2427666
"Anna and the King" 	34.0536909 -118.2427666
"Anna and the King" 	34.0536909 -118.2427666
"Anna and the King" 	34.0536909 -118.2427666
"Anna and the King" 	34.0536909 -118.2427666
"Anna and the King" 	34.0536909 -118.2427666
"Anna and the King" 	34.0536909 -118.2427666
"Anna and the King" 	34.0536909 -118.2427666
