"Ala	-26.737224 -54.4315257
"Alchemy" 	-33.8536692 151.2133527
"Algo\'s Factory" 	44.9772995 -93.2654692
"All Saints" 	-33.8536692 151.2133527
"All Saints" 	-33.8536692 151.2133527
"All Saints" 	-33.8536692 151.2133527
"All Saints" 	-33.8536692 151.2133527
"All Saints" 	-33.8556716 151.1067667
"Alpha Bravo Charlie" 	30.3308401 71.247499
"Amazing World of Animals" 	1.4419683 38.4313975
"America\'s Greatest Pets" 	32.753177 -97.3327459
"Amongst Women" 	53.7619629 -9.1208355
"Amongst Women" 	53.8263524 -9.4026307
"Amongst Women" 	53.8568418 -9.297967
"Amor y Moria" 	-34.9964963 -64.9672817
"An Awfully Big Adventure" 	54.7023545 -3.2765753
"An Awfully Big Adventure" 	51.7520131 -1.2578499
"An Awfully Big Adventure" 	51.833333 -1.25
"Andrei Saguna - un Mesia al romanilor" 	44.1534121 20.55144
"Andrei Saguna - un Mesia al romanilor" 	44.1534121 20.55144
"Andrei Saguna - un Mesia al romanilor" 	44.1534121 20.55144
"Andrei Saguna - un Mesia al romanilor" 	45.7973912 24.1519202
"Animal Court" 	34.0536909 -118.2427666
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.7792419 -79.4835593
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Animorphs" 	43.653963 -79.387207
"Anni \'50" 	42.6384261 12.674297
