"	-34.9964963 -64.9672817
"100 Deeds for Eddie McDowd" 	34.1338751 -117.9056046
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.11821875 -118.30029332196601
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	37.8708393 -122.2728639
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0233199 -118.2815445
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.17142715 -118.91058772974445
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.035591 -118.689423
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
