"1945" 	-28.8166236 24.991639
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
"Amar... al salvaje" 	-34.9964963 -64.9672817
