"\'More strasti\'" 	42.9868853 19.5180992
"A History of Britain" 	52.333333 0.083333
"A History of Britain" 	51.2756297 0.5159574
"A History of Britain" 	46.5802596 0.340196
"A History of Britain" 	11.9340568 79.8306447
"A History of Britain" 	47.9102153 3.7113825
"A History of Britain" 	54.7023545 -3.2765753
"A History of Britain" 	51.2474823 0.7105077
"A History of Britain" 	53.2141028 -2.471770086071205
"A History of Britain" 	61.0666922 -107.9917071
"A History of Britain" 	59.01329755 -3.2312402933283337
"A History of Britain" 	53.5705559 -6.7281057
"A History of Britain" 	52.0461146 1.1619429
"A History of Britain" 	54.7023545 -3.2765753
"A History of Britain" 	51.38102825 -2.3596750421489823
"A History of Britain" 	41.8933203 12.4829321
"A History of Britain" 	49.4404591 1.0939658
"A History of Britain" 	51.5073219 -0.1276474
"A History of Britain" 	55.95546545 -3.1935918930369556
"A History of Britain" 	49.66323745 0.9401133910609153
"A History of Britain" 	48.1978559 3.282606
"A History of Britain" 	50.9404529 0.3699899035008595
"A History of Britain" 	51.4157467 -1.8573944
"A History of Britain" 	59.0489055 -3.335586
"A History of Britain" 	51.5177519 -0.1051045
"A History of Britain" 	52.241001350000005 1.0466830312565236
"A History of Britain" 	13.276483 -59.5876751
"A History of Britain" 	51.5138407 -0.1010349
"A History of Britain" 	56.12403075 -3.9480016231672295
"A History of Britain" 	51.25 -1.916667
"A History of Britain" 	53.7766267 -8.1022177
"A History of Britain" 	13.1260939 -59.4826542
"A History of Britain" 	52.241001350000005 1.0466830312565236
"A History of Britain" 	27.175002 78.0421170902921
"A History of Britain" 	54.7023545 -3.2765753
"A History of Britain" 	51.505025 -0.08851978880991837
"A History of Britain" 	51.4631174 0.3643896
"A History of Britain" 	50.4320126 -3.6906806006691917
"A History of Britain" 	54.7023545 -3.2765753
"A History of Britain" 	53.5542857 -6.789775120801938
"A History of Britain" 	54.7023545 -3.2765753
"A History of Britain" 	22.544955799999997 88.34255445135342
"A History of Britain" 	51.49683505 -0.171571771757845
"A History of Britain" 	54.7023545 -3.2765753
"A History of Britain" 	52.89879005 0.8655270627156423
"A History of Britain" 	50.7153727 4.396367
"A History of Britain" 	50.90719945 -0.7593845176796019
"A History of Britain" 	51.5073219 -0.1276474
"A History of Britain" 	51.5023278 -0.1260826
"A History of Britain" 	53.5443512 -2.6295372
"A History of Britain" 	54.7023545 -3.2765753
"A History of Britain" 	52.188560800000005 -2.2207312942693407
"A History of Britain" 	53.962362999999996 -1.082089092751479
"A History of Britain" 	39.7837304 -100.4458825
"A Makeover Story" 	39.7837304 -100.4458825
"A Many Splintered Thing" 	51.8899889 0.26150702197225434
"A Many Splintered Thing" 	51.5200775 0.0145335
"A Many Splintered Thing" 	51.8899889 0.26150702197225434
"A Muralha" 	-10.3333333 -53.2
"A Nero Wolfe Mystery" 	40.7127281 -74.0060152
"A Nero Wolfe Mystery" 	43.91768 -78.862953
"A Nero Wolfe Mystery" 	43.653963 -79.387207
"A Nero Wolfe Mystery" 	43.679018049999996 -79.40811569159052
"A Nero Wolfe Mystery" 	43.6403622 -79.459996
"A Nero Wolfe Mystery" 	61.0666922 -107.9917071
"A Outra Face da Lua" 	38.7077507 -9.1365919
"A Place in the Sun" 	11.173116749999998 -60.725277654011435
"A Place in the Sun" 	38.029306 -78.4766781
"A Place in the Sun" 	28.3298487 -80.62054663871004
"A Place in the Sun" 	28.3861159 -80.7419984
"A Place in the Sun" 	28.3861159 -80.7419984
"A Place in the Sun" 	28.5421109 -81.3790304
"A Place in the Sun" 	39.7837304 -100.4458825
"A Place in the Sun" 	46.603354 1.8883335
"A Place in the Sun" 	28.6122187 -80.8075538
"A Place in the Sun" 	28.2918995 -81.4075838
"A Place in the Sun" 	28.756618000000003 -81.33888382214167
"A Place in the Sun" 	51.5073219 -0.1276474
"A Place in the Sun" 	33.7690164 -118.1916048
"A Place in the Sun" 	34.9550817 -97.2684063
"A Place in the Sun" 	28.5421109 -81.3790304
"A Place in the Sun" 	34.2148853 -118.4998204
"A Place in the Sun" 	11.24046155 -60.67200597857749
"A Place in the Sun" 	10.443024300000001 -61.26130538878063
"A Raia dos Medos" 	39.0122924 -7.0692642
"Aardvark" 	34.0536909 -118.2427666
"Abeltje" 	52.77706379999999 5.753319648106657
"Abeltje" 	49.8158683 6.1296751
"Abeltje" 	40.7127281 -74.0060152
"Abeltje" 	39.3262345 -4.8380649
"Above the Law" 	-33.8536692 151.2133527
"Abr�zame muy fuerte" 	16.5000001 -92.5000001
"Abr�zame muy fuerte" 	18.52076065 -95.6230404402794
"Abr�zame muy fuerte" 	17.9888123 -92.9801608
"Access Granted" 	34.0536909 -118.2427666
"Acemiler is basinda" 	41.0766019 29.052495
"Adam i Ewa" 	52.215933 19.134422
"Age of E" 	61.0666922 -107.9917071
"Agent" 	46.603354 1.8883335
"Agora � Que S�o Elas" 	40.0332629 -7.8896263
"Agora � que S�o Eles" 	40.0332629 -7.8896263
"Agrandaditos" 	25.7742658 -80.1936589
"Ah geceler" 	41.0766019 29.052495
"Ai qing bai ke" 	1.357107 103.8194992
"Aib�" 	35.6828387 139.7594549
"Ajuste de Contas" 	40.0332629 -7.8896263
"Ajuste de Contas" 	40.0332629 -7.8896263
"Allen\'s Soothers Boombastic" 	28.5421109 -81.3790304
"Allen\'s Soothers Boombastic" 	25.1446897 67.1847767315734
"Allen\'s Soothers Boombastic" 	30.3308401 71.247499
"Almeida Garrett" 	40.19926555 -8.433538389467195
"Almeida Garrett" 	50.6402809 4.6667145
"Almeida Garrett" 	40.2109801 -8.4292057
"Almeida Garrett" 	52.7954791 -0.5402402866174321
"Almeida Garrett" 	46.603354 1.8883335
"Almeida Garrett" 	40.0332629 -7.8896263
"Almeida Garrett" 	38.7077507 -9.1365919
"Almeida Garrett" 	38.9369782 -9.3282374
"Almeida Garrett" 	41.1806814 -8.6821998
"Almeida Garrett" 	40.1726104 -8.6844483
"Almeida Garrett" 	41.1494512 -8.6107884
"Almeida Garrett" 	38.8355605 -9.352225245746453
"Almeida Garrett" 	40.0332629 -7.8896263
"Almeida Garrett" 	38.72116905 -27.217595256578946
"Almeida Garrett" 	40.131072200000006 -8.710021717561887
"Almeida Garrett" 	41.1300103 -8.6058415
"Alternate Routes" 	-24.7761086 134.755
"Alternate Routes" 	14.8971921 100.83273
"Alternate Routes" 	52.5170365 13.3888599
"Alternate Routes" 	10.2735633 -84.0739102
"Alternate Routes" 	25.7742658 -80.1936589
"Alternate Routes" 	61.0666922 -107.9917071
"Alternate Routes" 	52.5001698 5.7480821
"Alternate Routes" 	48.8566969 2.3514616
"Alternate Routes" 	-22.9110137 -43.2093727
"Alternate Routes" 	31.2322758 121.4692071
"Amantes de Luna Llena" 	10.506098 -66.9146017
"Amantes de Luna Llena" 	10.506098 -66.9146017
"Amantes de Luna Llena" 	10.506098 -66.9146017
"Amantes de Luna Llena" 	10.6499149 -71.6396282
"America\'s Test Kitchen" 	42.3317642 -71.1211635
"American High" 	42.186313600000005 -87.85270154775947
"American High" 	42.1711365 -87.8445119
"American High" 	39.7837304 -100.4458825
"American High" 	42.1816919 -87.8003438
"Ammattimies" 	65.0118734 25.4716809
"Amor latino" 	29.5490715 -95.5220513
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	28.2935785 -16.621447121144122
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	25.7742658 -80.1936589
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Amor latino" 	-34.9964963 -64.9672817
"Ana kuzusu" 	41.0766019 29.052495
"Anda Pa\'l Car�" 	18.22141715 -66.4132818505648
"Andere Tijden" 	52.5001698 5.7480821
"Andere Tijden" 	52.5001698 5.7480821
"Andere Tijden" 	46.7985624 8.2319736
"Andere Tijden" 	52.0799838 4.3113461
"Andorra. Entre el torb i la Gestapo" 	42.5407167 1.5732033
"Andorra. Entre el torb i la Gestapo" 	41.3828939 2.1774322
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2767454 -122.91777374910319
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
