"1978 American League Championship Series" 	39.100105 -94.5781416
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	13.7542529 100.493087
"20/20" 	43.5499749 -96.700327
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	33.4484367 -112.0741417
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"30 Minutes" 	40.7127281 -74.0060152
"60 Minutos" 	19.4326296 -99.1331785
"A Horseman Riding By" 	50.75 -3.75
"A Life at Stake" 	-37.7983813 144.9650677
"A Traveller in Time" 	53.1185033 -1.5566179305872212
"A Woman Called Moses" 	36.7014631 -118.7559974
"A Woman Called Moses" 	30.1388095 -90.9239868
"Africa nera Africa rossa" 	-8.8272699 13.2439512
"Against the Wind" 	-24.7761086 134.755
"All Creatures Great and Small" 	52.5050033 -1.964396123331272
"All Creatures Great and Small" 	54.091592750000004 -1.535911258050148
"All Creatures Great and Small" 	54.091592750000004 -1.535911258050148
"All Creatures Great and Small" 	54.2590471 -1.879848
"All Creatures Great and Small" 	54.091592750000004 -1.535911258050148
"All Creatures Great and Small" 	54.091592750000004 -1.535911258050148
"All Creatures Great and Small" 	54.7023545 -3.2765753
"All Creatures Great and Small" 	54.3039411 -2.1965194
"All Creatures Great and Small" 	54.303133 -1.8594198
"All Creatures Great and Small" 	54.4178141 -1.9937274
"All Creatures Great and Small" 	54.091592750000004 -1.535911258050148
"All Creatures Great and Small" 	54.3853314 -1.9579669
"All Creatures Great and Small" 	54.7023545 -3.2765753
"All Creatures Great and Small" 	54.311641699999996 -1.8323828948871745
"All Creatures Great and Small" 	54.091592750000004 -1.535911258050148
"All Creatures Great and Small" 	54.091592750000004 -1.535911258050148
"All Creatures Great and Small" 	54.091592750000004 -1.535911258050148
"All Creatures Great and Small" 	54.7023545 -3.2765753
"All Creatures Great and Small" 	54.091592750000004 -1.535911258050148
"All Creatures Great and Small" 	54.7023545 -3.2765753
"All Creatures Great and Small" 	54.4004864 -0.7120022
"All Creatures Great and Small" 	54.091592750000004 -1.535911258050148
"All-Star Family Feud Special" 	39.7837304 -100.4458825
"All-Star Family Feud Special" 	34.0536909 -118.2427666
"All-Star Family Feud Special" 	34.0536909 -118.2427666
"Alternative Views" 	30.2711286 -97.7436995
"America 2-Night" 	34.0536909 -118.2427666
"America 2-Night" 	34.0536909 -118.2427666
"America 2-Night" 	34.0536909 -118.2427666
"America 2-Night" 	34.0536909 -118.2427666
"America 2-Night" 	34.0536909 -118.2427666
"America 2-Night" 	34.0536909 -118.2427666
"America Alive!" 	40.757889 -73.9793637
"America Alive!" 	34.0664646 -118.44650679402692
"Amerikanske bruddstykker" 	39.7837304 -100.4458825
"Amerikanske bruddstykker" 	34.0536909 -118.2427666
"Amor de Perdi��o: Mem�rias de uma Fam�lia" 	38.7077507 -9.1365919
"Amor de Perdi��o: Mem�rias de uma Fam�lia" 	40.6574713 -7.9138664
"Amor de Perdi��o: Mem�rias de uma Fam�lia" 	40.2109801 -8.4292057
"Amor de Perdi��o: Mem�rias de uma Fam�lia" 	41.1494512 -8.6107884
"Amor de Perdi��o: Mem�rias de uma Fam�lia" 	40.0332629 -7.8896263
"An Englishman\'s Castle" 	52.7954791 -0.5402402866174321
"An Englishman\'s Castle" 	52.7954791 -0.5402402866174321
"An Englishman\'s Castle" 	52.7954791 -0.5402402866174321
"An Englishman\'s Castle" 	52.7954791 -0.5402402866174321
