"1978 American League Championship Series" 	39.100105 -94.5781416
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	32.7174209 -117.1627714
"20/20" 	25.7929198 -80.1353006
"20/20" 	42.6384261 12.674297
"20/20" 	12.7503486 122.7312101
"20/20" 	48.8566969 2.3514616
"20/20" 	41.8755616 -87.6244212
"20/20" 	39.3262345 -4.8380649
"20/20" 	44.9772995 -93.2654692
"20/20" 	39.9527237 -75.1635262
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	29.9499323 -90.0701156
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
"20/20" 	39.7837304 -100.4458825
