"1954 World Series" 	40.7127281 -74.0060152
"1:0 f�r Sie" 	51.0834196 10.4234469
"A Time to Live" 	41.8755616 -87.6244212
"All About Baby" 	41.8755616 -87.6244212
"Annie Oakley" 	36.583175999999995 -118.07835929489717
"Annie Oakley" 	34.2694474 -118.781482
"Annie Oakley" 	39.7837304 -100.4458825
"Annie Oakley" 	34.3798765 -118.5291917
"Annie Oakley" 	34.1566737 -116.4961263
"Annie Oakley" 	34.3798765 -118.5291917
"Annie Oakley" 	36.773557 -121.737165
"Annie Oakley" 	34.3798765 -118.5291917
"Annie Oakley" 	36.583175999999995 -118.07835929489717
"Annie Oakley" 	36.583175999999995 -118.07835929489717
