"1960 Presidential Debates" 	41.8755616 -87.6244212
"1960 Presidential Debates" 	38.94023 -77.08081600475768
"1960 Presidential Debates" 	34.0536909 -118.2427666
"1960 Presidential Debates" 	40.7127281 -74.0060152
"1960 Presidential Debates" 	40.7127281 -74.0060152
"1960 World Series" 	40.4416941 -79.9900861
"1960 World Series" 	40.4416941 -79.9900861
"1960 World Series" 	40.4416941 -79.9900861
"1960 World Series" 	40.4416941 -79.9900861
"1960 World Series" 	40.44415295 -79.96243992762707
"1960 World Series" 	39.7837304 -100.4458825
"1960 World Series" 	40.4416941 -79.9900861
"1960 World Series" 	40.44415295 -79.96243992762707
"1960 World Series" 	39.7837304 -100.4458825
"1960 World Series" 	40.4416941 -79.9900861
"1960 World Series" 	40.44415295 -79.96243992762707
"ABC Close-Up!" 	30.3308401 71.247499
"ABC Close-Up!" 	51.5073219 -0.1276474
"ABC Close-Up!" 	29.9499323 -90.0701156
"ABC Close-Up!" 	42.3602534 -71.0582912
"ABC Close-Up!" 	37.7790262 -122.4199061
"ABC Close-Up!" 	37.5389351 -87.2583316
"ABC Close-Up!" 	10.506098 -66.9146017
"ABC Close-Up!" 	23.0131338 -80.8328748
"AWA All-Star Wrestling" 	44.9772995 -93.2654692
"AWA All-Star Wrestling" 	36.1672559 -115.1485163
"About Faces" 	34.0536909 -118.2427666
"About Faces" 	34.0536909 -118.2427666
"About Faces" 	34.0536909 -118.2427666
"About Faces" 	34.0536909 -118.2427666
"About Faces" 	34.0536909 -118.2427666
"About Faces" 	34.0536909 -118.2427666
"About Faces" 	34.0536909 -118.2427666
"About Faces" 	34.0536909 -118.2427666
"About Faces" 	34.0536909 -118.2427666
"About Faces" 	34.0536909 -118.2427666
"About Faces" 	34.0536909 -118.2427666
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Al caer la noche" 	-34.9964963 -64.9672817
"Amar fue su pecado" 	19.4326296 -99.1331785
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
"Angel" 	34.0211224 -118.3964665
