"1992 American League Championship Series" 	43.653963 -79.387207
"1992 Presidential Debates" 	37.5385087 -77.43428
"1992 Presidential Debates" 	38.6268039 -90.1994097
"1992 Presidential Debates" 	37.5385087 -77.43428
"1992 Presidential Debates" 	39.7837304 -100.4458825
"2000 Malibu Road" 	34.035591 -118.689423
"5+1" 	50.4500336 30.5241361
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	54.7023545 -3.2765753
"999" 	56.4603494 -5.8618419478791015
"999" 	56.415695 -5.4734688
"A Cruz y a espada" 	23.0000001 -103.0000001
"A Life" 	-37.8142176 144.9631608
"A Life" 	-37.8142176 144.9631608
"A Life" 	-33.8536692 151.2133527
"A Life" 	-35.2975906 149.1012676
"A Life" 	51.5073219 -0.1276474
"A Life" 	52.083333 -2.75
"A Nivel" 	18.46532245 -69.96826886261275
"A Time to Dance" 	54.6614392 -3.3590111
"A Time to Dance" 	54.091592750000004 -1.535911258050148
"A Touch of Frost" 	53.741427099999996 -1.7202003766777243
"A Touch of Frost" 	53.7944229 -1.7519186
"A Touch of Frost" 	53.7974185 -1.5437941
"A Touch of Frost" 	53.6847659 -1.5019502
"A Touch of Frost" 	53.741427099999996 -1.7202003766777243
"A Touch of Frost" 	54.5801786 -1.1761942
"A Touch of Frost" 	54.5801786 -1.1761942
"A Touch of Frost" 	53.8511925 -1.6041047
"A Touch of Frost" 	53.722353 -1.3512543
"A Touch of Frost" 	54.5801786 -1.1761942
"A Touch of Frost" 	53.722353 -1.3512543
"A Touch of Frost" 	53.722353 -1.3512543
"A Touch of Frost" 	53.7974185 -1.5437941
"A Touch of Frost" 	53.7974185 -1.5437941
"A Touch of Frost" 	53.61106305 -1.5729415926300585
"A Touch of Frost" 	53.722353 -1.3512543
"A Touch of Frost" 	54.2820009 -0.4011868
"A Touch of Frost" 	51.833333 -1.25
"A Touch of Frost" 	53.8716163 -1.7505470864897528
"A Touch of Frost" 	53.741427099999996 -1.7202003766777243
"A Touch of Frost" 	53.7974185 -1.5437941
"A Touch of Frost" 	51.5073219 -0.1276474
"A Touch of Frost" 	53.741427099999996 -1.7202003766777243
"A Touch of Frost" 	53.741427099999996 -1.7202003766777243
"A Touch of Frost" 	54.5801786 -1.1761942
"A Touch of Frost" 	53.7106701 -1.2751652
"A Touch of Frost" 	54.5801786 -1.1761942
"A Touch of Frost" 	54.5801786 -1.1761942
"A Touch of Frost" 	53.853331 -1.2143782
"A Touch of Frost" 	53.722353 -1.3512543
"A Touch of Frost" 	53.741427099999996 -1.7202003766777243
"A Touch of Frost" 	54.5801786 -1.1761942
"A Touch of Frost" 	53.741427099999996 -1.7202003766777243
"A Touch of Frost" 	53.87155385 -1.589179259024224
"A Touch of Frost" 	54.5801786 -1.1761942
"A Touch of Frost" 	54.5801786 -1.1761942
"A Touch of Frost" 	53.722353 -1.3512543
"A Touch of Frost" 	53.934675049999996 -1.4321816008224681
"A Touch of Frost" 	54.7023545 -3.2765753
"A Touch of Frost" 	54.7023545 -3.2765753
"A Touch of Frost" 	54.1368788 -1.5213194
"A la cachi cachi porra" 	19.4326296 -99.1331785
"Absolutely Fabulous" 	51.5073219 -0.1276474
"Absolutely Fabulous" 	51.50301195 -0.20414761379575316
"Absolutely Fabulous" 	51.5073219 -0.1276474
"Absolutely Fabulous" 	40.7127281 -74.0060152
"Absolutely Fabulous" 	48.8566969 2.3514616
"Absolutely Fabulous" 	34.022405 -6.834543
"Absolutely Fabulous" 	46.7985624 8.2319736
"Absolutely Fabulous" 	51.50372505 -0.11370885797203917
"Absolutely Fabulous" 	51.5073219 -0.1276474
"Absolutely Fabulous" 	43.8236191 5.3077869
"Absolutely Fabulous" 	43.8236191 5.3077869
"Absolutely Fabulous" 	46.603354 1.8883335
"Absolutely Fabulous" 	51.4568044 -0.1167959
"Absolutely Fabulous" 	51.50964155 -0.1458122325494609
"Absolutely Fabulous" 	51.5073219 -0.1276474
"Absolutely Fabulous" 	31.6258257 -7.9891608
"Absolutely Fabulous" 	31.62542 -7.9889053
"Absolutely Fabulous" 	31.605871 -8.032465716209586
"Absolutely Fabulous" 	51.5073219 -0.1276474
"Absolutely Fabulous" 	51.53198795 -0.17822595150661952
"Absolutely Fabulous" 	40.7127281 -74.0060152
"Absolutely Fabulous" 	51.4933513 -0.1690087
"Aby do switu..." 	52.215933 19.134422
"Achterbahn" 	52.5170365 13.3888599
"Al despertar" 	19.4326296 -99.1331785
"American Justice" 	29.4119166 -82.1098156
"American Justice" 	34.91591 -85.1091173
"American Justice" 	39.7837304 -100.4458825
"American Justice" 	33.7490987 -84.3901849
"American Justice" 	41.8755616 -87.6244212
"American Justice" 	32.753177 -97.3327459
"American Justice" 	39.7837304 -100.4458825
"American Justice" 	29.2108147 -81.0228331
"American Justice" 	39.7837304 -100.4458825
"American Justice" 	29.2108147 -81.0228331
"American Justice" 	27.7567667 -81.4639835
"American Justice" 	31.3271189 -89.2903392
"American Justice" 	31.3271189 -89.2903392
"American Justice" 	31.3189186 -89.3298195538935
"American Justice" 	31.31906225 -89.33190014933321
"American Justice" 	30.7910204 -89.8486858
"American Justice" 	31.3273242 -89.29140830786159
"American Justice" 	36.1672559 -115.1485163
"American Justice" 	35.8428646 -90.7034522
"Andale" 	19.4326296 -99.1331785
"Andr� Topa Tudo" 	40.0332629 -7.8896263
"Angel Street" 	41.8755616 -87.6244212
"Anglo Saxon Attitudes" 	54.7023545 -3.2765753
"Anglo Saxon Attitudes" 	46.603354 1.8883335
"Animal Adventures" 	27.9477595 -82.458444
"Animal Adventures" 	28.0370823 -82.42126134497113
"Animal Adventures" 	1.5333554 32.2166578
"Animal Adventures" 	27.9477595 -82.458444
"Animal Adventures" 	61.1246472 -149.7926128
"Animal Adventures" 	27.9477595 -82.458444
"Animal Adventures" 	58.3019496 -134.419734
"Animal Adventures" 	28.0370823 -82.42126134497113
"Animal Adventures" 	58.8130745 -136.8723522255592
"Animal Adventures" 	27.9477595 -82.458444
"Animal Adventures" 	26.535681 -78.6953623
"Animal Adventures" 	27.9477595 -82.458444
"Animal Adventures" 	1.4419683 38.4313975
"Animal Adventures" 	28.0370823 -82.42126134497113
"Animal Adventures" 	39.9622601 -83.0007065
"Animal Adventures" 	27.9477595 -82.458444
"Animal Adventures" 	39.7837304 -100.4458825
"Animal Adventures" 	28.0370823 -82.42126134497113
"Animal Adventures" 	58.8130745 -136.8723522255592
"Animal Adventures" 	28.0370823 -82.42126134497113
"Animal Adventures" 	48.6174862 -113.76088505945765
"Animal Adventures" 	28.0370823 -82.42126134497113
"Animal Adventures" 	39.1014537 -84.5124602
