"11pm" 	34.6198813 135.490357
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Alta comedia" 	-34.9964963 -64.9672817
"Anatomy of the Film" 	51.5073219 -0.1276474
